5227	647	great
3341	8510	bad
5612	8984	null
4495	953	good
4709	647	great
4818	1826	null
5133	5135	null
5418	8708	average
4627	647	average
3193	1019	null
2459	647	great
1385	8708	great
1513	2026	great
42	19739	great
4177	18141	good
4147	20538	null
4148	13321	great
5337	8708	good
4944	7571	great
5053	5135	great
5052	5135	great
4251	12972	good
3304	8510	average
5336	8708	average
3240	1771	null
1808	12951	great
3603	8510	average
3280	2987	null
3618	13	null
4370	12972	great
5229	12972	bad
5403	8708	good
657	2026	great
5446	8708	good
6541	19739	good
1432	22530	great
4709	1768	great
5121	884	good
5277	8708	good
4872	2833	good
4983	6928	average
3547	281	null
4985	5135	null
4377	7304	great
751	12972	great
5359	8708	good
5274	11179	great
5250	8708	bad
5134	5135	null
2340	11860	null
6401	19739	great
6304	18007	good
5783	13295	null
2429	13600	great
4820	15486	average
5783	12914	null
5534	12163	good
5135	5135	null
5246	647	great
5816	977	great
5337	8721	average
5336	8721	good
5114	8721	great
5250	8721	great
3238	5355	null
3312	5691	great
4178	8708	good
2988	8708	great
5546	12972	great
3699	281	null
42	12972	good
5101	4520	average
5420	8708	good
4943	14309	good
5592	7869	great
5181	9906	great
5181	8708	good
4840	1488	null
5405	8708	good
5357	12216	good
1245	6674	average
2805	953	average
5336	9585	great
4130	5355	null
5621	939	null
3765	939	null
4840	647	great
5227	10966	good
3379	939	null
5250	4520	average
4895	12972	good
5336	3329	great
3699	9076	great
4301	977	good
5125	8708	good
5277	4520	average
4819	2870	null
4840	2987	great
1914	9076	great
5417	8708	good
5337	4520	great
5121	977	great
2263	12569	great
4714	647	great
5359	13913	great
5273	8708	good
5181	4520	average
3527	8708	good
1744	8612	great
4965	7871	null
5181	3596	great
5410	7419	good
4983	8708	good
4883	8708	good
5418	9889	good
4934	7328	bad
5067	953	average
5196	8721	good
5272	13185	great
5546	12972	great
2561	953	good
4155	12082	great
1399	8708	great
4469	8708	good
4652	12287	great
1261	13185	great
4840	3569	great
668	3596	great
4840	2833	good
5053	2379	good
5163	8708	great
5268	4520	good
5418	8721	great
1895	12709	null
5781	1849	average
5405	3454	good
4278	1572	null
4934	7327	average
5403	5262	great
4284	7187	average
5093	647	average
4957	7209	great
3140	7209	good
5050	939	good
5418	11179	great
1320	12709	null
4068	21473	good
4113	939	null
1276	11961	great
5427	8708	average
4278	7692	good
4363	462	null
6513	5382	null
6313	5382	null
3304	11430	good
3698	9076	great
5162	953	good
162	11473	good
564	8708	average
5078	8606	good
5613	1572	average
2648	8708	bad
3204	953	average
566	8708	good
5357	2	good
5168	8708	great
5255	11473	good
4224	514	null
2167	11473	good
4318	142	null
5362	6038	great
3097	11430	average
5181	9906	great
5592	8721	great
5067	7187	bad
5726	96	great
4840	5917	good
5432	1406	great
4325	5262	great
4438	11430	great
1534	12287	great
5327	838	null
3205	939	null
5429	5086	great
3443	1465	null
5229	6849	bad
5429	12287	great
5077	8721	great
1262	13185	great
4791	12287	great
4325	1528	great
5429	8823	great
6326	5382	null
3601	5086	good
1192	12287	great
4469	12082	great
5272	7905	great
4722	647	null
4325	14777	null
5752	5382	null
3135	7187	good
4934	836	null
5277	6038	good
4237	8510	good
5327	11430	great
5285	6001	average
4329	142	null
4377	3419	null
5534	11987	great
5339	11987	great
5570	6928	good
164	11473	bad
5336	3329	great
5421	7187	average
3288	953	average
4306	1465	great
3204	8510	average
841	5086	great
756	953	average
5336	3329	great
5349	647	good
5571	6928	good
5534	5464	great
5336	3329	great
4377	1019	null
4414	2419	good
4440	6038	good
5167	884	good
5246	11473	good
5339	5355	null
4068	953	great
4959	2833	good
5678	6928	good
3765	5135	null
5463	8120	great
3573	2833	null
3510	5262	good
5366	5086	great
4590	939	null
5572	6928	good
5277	11473	good
4278	9151	good
5250	1246	bad
5780	10057	great
5190	8120	good
5206	8721	great
5373	12508	great
4423	647	great
174	14777	null
5019	842	null
4709	6692	null
5327	939	null
5534	939	null
4748	2987	null
4709	5135	null
5162	1496	good
5339	14264	great
5709	14130	average
3293	953	good
4858	5355	null
5137	1777	good
5277	10722	great
3989	6587	great
751	12287	great
1198	12569	great
752	12287	great
3312	1465	null
580	5086	good
4709	6712	good
6514	5382	null
3248	9076	average
4377	1465	null
3314	5355	null
4818	1726	great
192	8708	good
5357	12287	great
4709	302	great
4774	8708	great
4325	5355	null
3244	8721	good
5339	2	null
5422	8567	null
5272	6038	good
5466	12216	good
4363	2	null
498	5262	good
5339	6487	null
5357	14200	great
4895	14200	great
5357	10912	null
5162	2	good
4163	8633	average
5359	3454	great
4278	4077	great
3231	12761	null
3305	8510	average
4819	8721	bad
5429	12508	great
3539	9076	average
5613	8567	null
5610	12216	good
5466	6487	null
4363	842	null
6125	6295	great
4709	2	good
5162	6522	good
2351	8708	great
4833	10969	great
5083	1598	great
4130	3880	great
615	11473	great
4244	11473	good
5531	6038	good
4839	5464	null
5339	4077	great
5571	953	good
4715	5135	null
5962	1830	average
5496	1830	average
4925	5135	null
4318	13243	average
4636	14273	great
5559	8708	good
5613	5135	average
5483	1454	great
5062	8606	good
5229	14282	null
5613	7304	great
5732	3175	good
5421	953	good
4068	7304	great
3378	7304	great
3688	7304	great
5497	1830	average
5062	8606	good
5321	2833	good
5338	307	null
614	11473	great
573	7304	great
5067	7304	great
5403	1832	great
5339	8524	great
4242	302	good
4840	1065	great
5410	647	good
5067	13337	good
5339	2833	great
498	884	great
5229	12799	bad
5197	12792	good
5250	12792	good
1126	12569	great
5405	12792	good
2889	953	average
4281	307	null
5121	12792	great
4565	13747	great
5359	12792	great
5070	8606	good
3304	12287	good
5119	953	average
3248	953	average
575	7304	great
5553	14293	average
5138	1832	great
5522	11102	null
5522	11102	null
5522	953	good
5588	647	good
4714	12792	good
4840	12792	good
4836	12792	great
5077	8606	great
3245	307	null
4559	1832	great
5522	11102	null
4840	2870	null
5354	7571	great
6221	10057	good
5436	7304	good
4311	6059	good
4840	12287	great
3490	5262	average
4944	6476	good
5828	647	great
3994	5800	average
5192	5135	null
5463	836	good
4902	12792	great
3316	7335	great
3296	5135	null
4377	939	null
5157	8721	average
4075	1771	null
5135	6239	good
4076	1771	null
4840	5382	null
5529	1771	null
3312	6239	good
570	953	average
3316	5651	great
5466	5413	great
4375	18007	great
5678	5331	great
5801	10959	bad
5357	11430	average
4252	5800	great
5233	12991	average
5459	6712	great
5678	13913	great
3248	5135	good
4178	10645	great
4840	836	null
24	1832	great
5650	14641	great
5592	14308	great
5678	14308	average
14	13149	great
865	2026	great
4945	1496	null
5337	14308	great
2163	5262	good
5121	14308	great
1370	5086	great
5367	14130	average
5566	8510	average
3254	10999	null
4819	8452	null
5339	142	great
4325	8452	null
5487	13149	good
4121	14318	good
5483	13149	good
5339	5413	null
5422	12287	great
5229	14257	average
5246	14308	great
5228	14311	null
5228	5464	good
3257	10999	null
3272	10999	null
921	13149	great
4290	2833	good
3993	12972	average
860	8708	great
4460	14324	great
5459	12451	good
4363	1465	null
610	1465	null
3258	10999	null
3236	953	good
5209	13149	great
3241	953	good
4946	14324	good
4965	6692	null
4377	836	null
53	14330	great
5172	9651	good
1516	13780	average
4840	3985	good
4814	11918	great
5556	12451	average
3269	10999	null
3273	10999	null
3235	1771	null
4899	14317	great
5062	8721	bad
5579	7692	average
5487	14130	good
4278	1093	great
5844	953	good
5487	6194	great
5461	953	good
4939	8606	great
5453	13149	average
5710	14130	average
5068	1556	good
4363	953	good
5172	6928	null
5357	647	good
4841	836	null
4322	3985	average
5421	4034	great
1297	8708	average
3305	12287	good
4236	12287	good
4306	2026	great
4253	2026	great
2493	13149	great
1363	2026	great
5167	2026	great
4480	2026	great
667	2026	great
1696	2026	great
3316	2026	great
1757	2026	great
4121	2026	great
2048	2026	great
4634	2026	great
5420	953	good
5568	2026	great
4819	142	average
3206	953	average
1509	2026	null
4636	14318	great
4932	3598	good
5237	8674	average
5478	2833	great
5497	953	average
4957	5464	good
4552	6038	good
4377	6059	good
5162	6154	null
5678	8823	good
3145	953	great
5362	2026	great
4247	14318	great
4804	14324	good
3476	7304	good
3615	647	null
5572	953	average
5283	4818	good
5559	13310	average
4709	7211	null
1148	12766	good
4340	9076	great
2224	2833	good
43	12287	great
5592	9497	great
4902	1777	good
5349	13310	good
5327	8708	good
235	2026	great
1303	2026	great
43	2026	great
1346	2026	great
3723	5135	null
4547	8606	good
4071	5135	good
4341	8606	good
5562	953	average
5349	11473	average
3691	953	good
5563	953	average
5233	13310	average
4168	10688	great
5455	13310	average
2086	12287	great
5421	8708	good
5349	14072	good
4714	1777	good
4211	5135	great
5102	1246	average
5459	13310	good
5172	953	good
4146	2026	great
3312	2026	great
2457	2026	great
4658	14324	great
5261	14309	bad
5735	1771	null
2091	953	average
5421	5086	great
5592	2833	great
5416	953	average
4539	8606	good
2842	953	average
4871	2833	good
430	12287	great
4709	9076	good
5556	4520	average
5233	4520	good
5459	4520	great
5455	8721	good
5845	8510	good
5083	5135	good
5534	5135	null
4646	13310	good
5408	13310	average
4164	2026	great
1166	2026	great
227	2026	great
1261	2026	great
1593	2026	great
5769	8721	average
3545	2026	great
542	2026	great
5601	14309	average
5229	4520	good
4178	14309	good
3002	953	good
5362	14309	great
5242	14309	good
5162	14309	bad
5732	3454	good
413	14309	good
5592	13310	good
5459	8721	great
5559	4520	good
5179	4520	average
5229	8721	great
5534	14309	good
5418	14309	good
1908	14264	great
5564	953	good
5357	9134	great
4456	9687	good
5556	8721	bad
5412	4520	average
5546	4520	good
4325	1768	great
1745	2026	great
4706	8510	average
5322	14309	good
5732	14130	average
5233	8721	bad
5272	4520	average
5376	14130	good
4722	11918	great
3699	142	null
4236	8510	good
5624	8721	great
4898	1598	good
5592	4520	good
5625	14130	good
5357	11283	great
5613	11918	great
5070	8721	good
4179	6839	bad
5172	836	null
5529	2	good
1905	14130	good
4237	12287	good
4706	12287	good
5354	953	average
3111	953	average
5261	8721	average
3371	12991	great
5400	8721	great
2377	14006	great
4076	2	average
1935	9076	great
3532	8708	great
5421	2	good
338	11966	good
5524	1777	great
1802	18007	great
4709	2833	good
5592	12569	great
5179	13310	good
5179	12451	great
5534	7304	good
5745	6239	great
5613	10749	great
5455	13881	great
5357	6239	good
4068	14264	great
1808	1777	good
5478	953	average
5553	13149	good
5548	18141	good
6423	18141	average
5705	9891	great
5400	12569	great
4932	7327	average
5415	5086	great
5115	8606	good
5376	13558	good
5603	14130	average
5538	14130	average
5791	9891	good
4940	13881	great
5162	5464	null
5610	6928	good
4325	953	good
3379	8633	good
4714	2833	good
5592	8823	great
5578	13310	good
5141	13881	great
3236	9076	great
4709	1093	great
5709	9891	good
5407	14130	good
5158	8721	good
5339	10749	good
5359	3040	good
5272	8721	great
5524	9891	average
5710	9891	average
3205	953	average
5480	14130	good
3488	5262	average
5432	939	null
5432	12199	null
5594	13269	good
5954	13441	null
5432	8524	good
5324	14130	good
5709	11860	null
5017	13427	null
5532	13310	average
5455	11860	null
4624	11860	null
4452	11860	null
4442	11860	null
4308	11860	null
2955	11860	null
4325	2833	great
4251	9906	great
5200	953	good
2278	11860	null
2277	11860	null
5432	6487	null
5483	6892	average
5664	8452	null
2883	14006	great
5432	14264	null
2186	13972	good
5792	20680	great
5152	8721	good
4933	142	great
5376	9891	average
5018	13427	null
5432	953	good
5339	11860	null
5718	11860	null
5229	11860	null
5239	11860	null
4672	11860	null
4369	11860	null
4303	11860	null
491	11860	null
1766	11860	null
881	11860	null
6513	22638	good
5721	8120	great
4943	953	good
2340	8708	good
2647	13780	good
4416	11860	null
4211	6760	great
5190	5135	great
5019	13427	null
5726	8721	good
3545	1830	good
5206	4520	good
3312	3532	null
4624	6038	great
6042	8510	average
5339	9891	great
5487	9891	good
5158	5800	good
5459	11860	null
4369	11860	null
514	11860	null
3296	11860	null
4211	6476	great
5453	13310	great
