1808	36073	good
1808	37435	null
1808	9195	great
1808	31721	great
1808	2	null
1808	549	null
1808	2	null
1808	7187	good
1808	10648	null
1808	953	average
1808	15878	good
1808	15199	good
1808	6239	null
1808	16750	great
1808	31721	good
1808	2	null
1808	549	null
1808	2	null
1808	7187	good
1808	1777	null
1808	953	average
1808	15199	good
1808	22331	great
1808	16750	great
1808	9195	great
1808	31721	good
1808	7187	good
1808	2	null
1808	5651	good
1808	549	null
1808	953	average
1808	15199	good
1808	22331	great
1808	6239	average
1808	16750	great
1808	36073	good
1808	31721	good
1808	549	null
1808	11336	great
1808	2	null
1808	2	null
1808	7187	good
1808	953	average
1808	22331	great
1808	16750	great
1808	36073	good
1808	31721	good
1808	2	null
1808	7187	good
1808	1830	good
1808	953	good
1808	549	null
1808	15199	great
1808	16750	great
1808	7187	good
1808	7304	good
1808	2	null
1808	953	average
1808	16750	great
1808	36073	average
1808	7304	good
1808	2	null
1808	7187	great
1808	953	good
1808	15199	null
1808	16750	great
1808	7304	good
1808	2	null
1808	7187	good
1808	953	average
1808	16750	great
1808	7187	null
1808	953	good
1808	7304	great
1808	7187	good
1808	15199	good
1808	16750	great
1808	7187	null
1808	7304	good
1808	953	average
1808	7187	great
1808	1830	good
1808	16750	great
1808	7187	null
1808	18141	great
1808	7304	great
1808	7187	great
1808	5651	good
1808	5135	null
1808	953	good
1808	15199	null
1808	16750	great
1808	7187	null
1808	18141	great
1808	5464	null
1808	4680	null
1808	953	average
1808	15199	null
1808	16750	great
1808	7187	good
1808	36073	good
1808	953	average
1808	2	null
1808	5135	null
1808	7187	good
1808	16750	great
1808	7187	good
1808	953	average
1808	16750	great
1808	2	null
1808	7187	good
1808	953	good
1808	15199	great
1808	16750	great
1808	2	null
1808	7187	good
1808	953	average
1808	15199	null
1808	16750	great
1808	2	null
1808	7187	good
1808	953	average
1808	15199	null
1808	16750	great
1808	36073	good
1808	7304	great
1808	2	null
1808	7187	great
1808	1830	good
1808	953	great
1808	15199	great
1808	16750	great
1808	36073	average
1808	7187	good
1808	953	good
1808	15199	great
1808	16750	great
1808	18141	good
1808	2	null
1808	7187	great
1808	953	average
1808	16842	great
1808	16750	great
1808	2	null
1808	7187	great
1808	953	average
1808	15199	good
1808	16750	great
1808	12569	great
1808	2	null
1808	7187	good
1808	953	average
1808	15199	good
1808	16750	great
1808	15199	great
1808	4077	great
1808	2987	null
1808	12569	great
1808	11336	great
1808	2	null
1808	7187	great
1808	953	great
1808	15199	great
1808	16750	great
1509	18970	null
1509	6199	average
1509	2	null
1509	1088	bad
1509	6476	good
1509	549	null
1509	6712	good
1509	1594	null
1509	1088	average
1509	6476	great
1509	6712	average
1509	549	null
1509	11283	great
1509	953	average
1509	2	null
1509	1594	null
1509	1088	bad
1509	549	null
1509	6712	average
1509	5262	great
1509	1594	null
1509	11283	great
1509	2	null
1509	1088	bad
1509	953	average
1509	549	null
1509	5377	great
1509	1088	null
1509	549	null
1509	2	null
1509	1594	null
1509	6712	good
1509	953	average
1509	5262	great
1509	5377	great
1509	1594	null
1509	1088	average
1509	953	average
1509	6712	good
1509	2	null
1509	549	null
1509	549	null
1509	6712	average
1509	2	null
1509	1088	bad
1509	953	average
1509	5377	great
1509	6712	good
1509	2	null
1509	1594	null
1509	1088	average
1509	549	null
1509	953	average
1509	2	average
1509	1594	null
1509	1088	null
1509	6712	average
1509	953	average
1509	549	null
1509	549	null
1509	1594	null
1509	1088	average
1509	6712	average
1509	953	average
1509	1594	null
1509	1088	bad
1509	549	null
1509	6712	good
1509	953	average
1509	6712	good
1509	1594	null
1509	953	average
1509	549	null
1509	1594	null
1509	6712	good
1509	953	average
1509	549	null
1509	953	average
1509	549	null
1509	1594	null
1509	6712	good
1509	3795	bad
1509	1594	null
1509	6712	average
1509	953	average
1509	549	null
1509	5262	great
1509	1594	null
1509	6712	null
1509	953	average
1509	549	null
1509	549	null
1509	6712	average
1509	953	average
1509	1594	null
1509	953	average
1509	1594	null
1509	6712	average
1509	549	null
1509	1594	null
1509	6712	good
1509	953	average
3855	16229	good
3855	16229	good
3855	16229	good
3856	17251	good
3856	17251	great
3856	17251	good
3646	9967	good
2447	2	null
2447	2	null
2447	142	null
1128	24265	great
1128	37540	null
1128	24265	good
1128	37540	null
1128	24265	good
1128	37540	null
1128	37540	null
1128	24265	good
1128	37540	null
1128	24265	good
1128	37540	null
1128	24265	good
1128	37540	null
1128	24265	good
1128	37540	null
845	1830	great
845	6476	bad
845	953	average
845	6476	bad
845	953	average
845	6476	bad
845	953	average
845	6476	bad
845	953	good
845	6476	bad
845	953	average
845	6476	bad
845	953	good
845	6476	bad
845	953	average
845	6476	average
845	953	good
209	22951	good
209	953	average
209	18141	good
209	953	average
209	18141	good
209	953	average
209	18141	good
209	953	good
209	18141	good
209	953	good
209	18141	good
209	953	good
209	5464	good
209	18141	good
209	953	average
209	939	null
209	18141	good
209	953	good
1430	3175	good
1430	875	null
1430	16750	great
1430	20943	null
1430	953	good
1430	3175	good
1430	16750	great
1430	20943	null
1430	953	good
1430	16750	good
1430	953	average
1430	16750	good
1430	953	average
1430	16750	good
1430	953	average
1430	16750	good
1430	953	average
1430	16750	good
1430	953	good
1430	16750	good
1430	953	good
1658	142	null
1658	22951	good
1658	22951	good
1658	22951	good
1658	22951	good
1658	22951	good
1658	22951	good
1658	14130	good
1658	22951	null
1658	22951	good
835	26500	average
1039	16750	great
1039	16229	great
1039	16750	great
1039	16229	null
1039	9785	null
1039	16750	great
1039	16229	great
1039	16750	great
1039	16229	great
1039	16750	great
1039	2	null
1039	16750	great
1039	16229	great
1039	9785	null
1039	16750	great
1039	7	null
1039	9785	null
1039	16750	great
1350	21071	great
1350	16750	good
1350	21071	great
1350	16750	good
1350	21071	great
1350	16750	great
1350	16750	good
1350	16750	great
1350	16750	great
1350	16750	good
1350	6760	null
1350	16750	good
1636	37	null
1636	463	null
1636	6239	average
1277	11430	great
1277	16750	great
1277	11430	great
1277	1273	null
1277	16750	great
1277	11430	great
1277	16750	great
1277	11430	great
1277	16750	great
5579	3925	great
4859	4818	null
4447	1013	null
112	4360	null
5411	1093	great
5272	7692	great
5337	5262	good
5400	1093	great
5538	3880	good
5548	11473	great
5411	1093	great
5411	1093	great
5261	8931	good
5274	1246	good
5538	3880	good
4863	8721	great
1474	953	average
5592	1970	great
5274	1246	good
5193	4818	null
5459	7692	great
5362	6154	null
5544	4150	null
5274	12742	average
4583	1093	good
5114	8721	good
5284	3880	average
5459	5355	null
5460	953	average
5592	4150	null
5255	12742	average
5233	7692	good
5284	3880	average
119	5262	great
5362	7692	great
5270	953	average
5578	953	good
4714	514	good
5233	12549	great
5247	5215	great
5459	7986	good
5259	8984	null
5579	3925	great
5459	953	good
4663	953	average
5423	10700	great
5274	12742	average
4947	7683	great
4546	1093	null
5284	3880	average
660	5135	null
5247	5215	good
4538	4034	null
5247	5215	great
4149	953	average
5247	5215	great
5075	1093	great
4663	953	average
4663	953	average
4663	953	average
5411	953	average
1198	953	good
5592	12164	null
5592	953	average
5484	1970	great
5359	836	good
4663	953	average
5411	1093	good
660	5135	null
4149	953	average
4149	953	average
5408	647	good
5588	12479	great
5337	5262	great
4663	953	average
5274	12742	average
5274	12742	average
5475	11430	average
752	2379	good
5274	12742	average
5250	6712	good
5459	4077	great
1159	953	good
4883	4680	null
5556	12577	great
1159	953	average
4117	953	average
5250	6239	average
4117	953	average
4554	1286	null
4117	953	average
4117	953	average
4117	953	average
4117	953	average
5114	8721	good
5114	8721	good
4117	953	average
4093	5135	null
4117	953	average
5274	12742	average
4149	953	average
5403	9585	good
5083	3175	average
4117	953	average
4117	953	average
5083	3175	good
5274	12742	average
4117	953	average
4117	953	good
4117	953	average
4117	953	average
5460	8633	good
4117	953	average
4117	953	average
4192	953	average
4117	953	average
5114	8721	great
5274	12742	average
4093	5135	null
4192	953	good
94	953	good
5345	4818	null
5114	8721	great
5484	11254	great
5484	11254	great
5114	8721	good
5114	8721	great
2459	11430	great
4714	836	great
2459	11430	great
5410	1093	good
94	953	good
5179	5262	great
2459	11430	great
2459	11430	great
2459	11430	great
2459	11430	great
2459	11430	great
2459	11430	great
94	953	great
5402	5104	bad
498	5262	great
5402	388	average
5359	1830	good
5403	5262	great
5417	4680	good
5272	10969	good
5069	6928	null
5402	388	average
4547	4476	null
4547	4476	null
5362	13137	null
4405	1826	null
4565	3985	null
5337	8216	average
4689	1093	good
4616	11918	great
5270	8674	good
5455	12513	great
4792	2288	great
4245	2288	null
5594	3880	good
4577	1826	null
4566	836	null
4245	2288	null
4804	3598	average
4662	405	null
4792	1246	null
4789	6154	null
5141	11430	great
5042	1013	null
5042	1013	null
751	2379	average
1897	953	average
5359	7692	good
4560	1392	null
4282	2219	good
5592	7692	good
4547	2358	null
4718	2987	null
4772	3598	good
4104	408	null
5606	953	average
2325	953	average
4802	1093	good
4650	3598	good
4662	405	null
356	953	average
5181	1013	null
5454	7187	average
5406	953	average
5458	953	average
5180	953	good
5042	1013	null
5272	11961	great
4803	1013	null
4662	405	null
4662	405	null
5077	7827	bad
5362	8633	great
4431	514	average
4792	514	average
4662	405	null
4686	2379	good
5408	5355	null
5412	2219	average
5362	9603	great
4253	2987	null
5410	953	good
5362	6154	null
356	953	average
4283	2987	null
5406	8674	average
5408	8428	good
5559	1246	good
5258	10645	good
356	953	average
5330	10538	good
5559	1246	good
5269	8721	average
5184	8674	good
5484	1013	null
5337	9603	good
4914	2826	good
5269	8721	average
5250	5262	null
5377	7827	average
39	953	average
5245	2219	great
5065	402	average
5592	5086	average
5093	7827	average
5250	5262	null
1276	11430	great
5484	1013	null
2300	8674	average
5362	1768	great
356	953	average
5410	402	average
5272	11957	average
5419	953	average
5418	5135	average
5072	7827	average
4714	4818	null
5049	4818	null
5423	8721	average
5530	7801	great
231	7827	average
2291	8708	great
5138	1093	great
1276	11430	great
1276	11430	great
2087	953	average
5361	402	average
5423	8721	average
1276	11430	great
5359	1970	great
4554	3699	null
5423	8721	average
4560	3699	null
5233	2219	average
5274	12742	average
5062	388	good
5206	10645	good
5138	8637	good
5588	402	good
5592	4077	good
4547	4360	null
5274	12742	average
5417	10645	average
764	8674	good
5277	647	good
5578	8931	good
5458	7692	good
132	5464	null
5578	402	average
5277	3598	great
5458	7801	null
5136	4987	bad
5624	4520	average
1276	11430	great
5277	647	good
5083	3175	great
5457	402	average
132	8510	average
5277	647	good
1399	10599	average
5412	4818	null
1276	11430	great
5233	1970	great
5417	3880	average
5459	2833	good
5125	3880	null
5410	4818	null
119	5262	great
4476	8510	good
5083	3175	null
5592	4520	good
5255	2691	good
5345	1309	null
5594	5215	great
5072	7827	average
5447	10713	null
5417	3880	good
1276	11430	great
5233	3795	good
5453	7692	good
5417	3880	good
